"hour_min","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","Label","hour","min","year_mon","month","year"
230,2567.49987793,2799.999938965,1067.26747544623,771.894197336682,856.48946990965,2197.499938965,2792.49987793,2660.022578939,331.9999923705,354.900375366117,372.2499923705,11414.636669905,12200.8489094993,11451.8685221275,2.41999989748,68.4499988556,25.9991452535367,5752.49987793,6444.99975586,6527.5,2200.2052612305,2269.35547688783,2010.41244099933,3.054999887945,2.09999999404,1.9274998903275,2.1149999499325,1.39414991438497,0.62424998730425,19242.3334309933,13642.673844395,14069.61101887,56.8148868005365,457.265182972017,573.491300709867,11.3038421313,33.5715716679983,34.649999618525,5252.29530029267,5599.9426432285,5504.419871013,5447.45716552783,5852.54682210283,5675.54971923833,4911.97196858733,5411.71084594683,5348.641300456,5939.749979655,6546.5155558275,5401.02475179083,12.524999618525,13.399999618525,5598.7487996425,6162.36727295083,5986.6226053855,5064.63424987775,6238.523529053,6426.06119588067,6621.183154295,7258.8563232415,6938.19442952467,5516.58937174483,6069.08938395233,5635.930708822,5719.99975586,7879.8277180995,6279.99975586,14363.6307617242,14831.9687581382,14675.7972737707,2629.99987793,0,2,30,20160700,7,2016
245,2569.40051269533,2799.999938965,815.433940315318,765.022991498507,838.052461751283,2215.21773681633,2792.49987793,2662.28566487633,332.72314605695,356.7228556314,372.2499923705,11712.358430965,12592.0797200517,11806.0053385317,2.34019195238633,68.5243810018033,25.84999990465,5752.49987793,6444.99975586,6527.5,2157.73383789067,2260.7287109375,2006.21747639967,3.054999887945,2.09999999404,1.9274998903275,2.1149999499325,1.39414991438497,0.62424998730425,19842.1303710933,14070.46726886,14520.7402343533,52.0399972201275,19.049998760225,136.51330668125,11.27499961855,33.2249994278,34.649999618525,5037.30134684217,5350.799886068,5240.585089111,5317.15231730167,5725.73712972033,5555.071514893,5274.09591471367,5789.7863403325,5777.82455851217,5972.71296590133,6523.7068806965,5424.74573466008,12.524999618525,13.399999618525,5226.72684122767,5777.15510050383,5604.39779052617,4937.87565205902,6022.04164428667,6208.665321859,6725.6762308765,7278.650142415,6979.53483072933,5666.38233642667,6122.29141438833,5706.61957193983,5739.83546549567,7845.93208821683,6300.74525553467,14077.1079589905,14565.83277588,14419.28326417,2629.99987793,0,2,45,20160700,7,2016
300,2579.72972972973,2801.89179621541,809.893473393331,698.592872363006,792.167123742838,2223.78378378378,2795.81066564649,2649.23368876703,334.135122762973,358.324318138243,369.932426246351,12033.7831899054,12974.3243243243,12253.1411264703,2.08702693114378,68.2567561381689,26.0326691962892,5742.56737621459,6425.13484480649,6514.72963735243,2301.73228660811,2377.87716757324,2051.54859553149,3.01621610731784,2.18891890145622,1.91472962096014,2.20108102785554,1.47282424408133,0.699121607719932,20092.1713207284,13887.3105600608,14508.0548590405,43.0913490540991,19.0594581655527,123.202702702703,11.4494874670824,33.1592297940743,34.7162159069122,5066.58808692743,5418.39509376297,5277.63477882216,5188.55353773013,5508.59565363676,5394.17696731149,4801.86887998878,5445.99788686432,5197.60542421081,6007.60382245054,6552.61094046973,5413.61435678865,12.588873553927,13.5113646661932,6317.65105211351,6977.48658876095,6711.7313578827,5320.3698755213,6380.29302813622,6625.51687044716,6866.69166028811,7497.70647038703,7304.35814109919,5622.33165844095,6016.83634660081,5706.6208990977,5742.0267301,7828.78358583243,6273.67691617473,13308.2347082199,13718.4536231849,13617.4639529655,2633.78368480811,0,3,0,20160700,7,2016
315,2580,2801.999902344,1052.76214823412,925.102717438017,948.66610066752,2226.80731770827,2783.57256184933,2645.999951172,334.814324951053,358.3999938964,369.237110595613,12020.1724348733,12995.8345963533,12278.185807284,2.073999905586,68.23999938966,25.8018301391907,5587.5980664068,6096.19966796907,6348.19198567733,2218.29408203173,2332.00218424493,2101.56681315107,2.9896076075244,2.19219244480107,1.92067744255133,2.20320714155813,1.37381994366673,0.69198409211029,20125.8059375027,13917.837968732,14416.4121614427,22.423084786726,19.059998703,123.2,11.3999646632173,33.096675415048,34.71999969482,4955.71260742267,5239.390297852,5223.5584798172,5156.74382975293,5497.2428889976,5394.80368652387,4801.92042399107,5232.02718424507,5218.7033235676,5893.6515006516,6394.07552083387,5342.97010904973,12.607583351148,13.5215839131587,5539.73281575507,6102.7580664056,5888.01146809867,4437.96858398413,5682.67989908933,5688.32462076893,6632.3945410168,7359.06144531373,7020.9751318356,5626.14427734427,6116.68428385453,5724.52178710947,5740.34276692773,7827.999804688,6271.999707032,16559.5925032555,17090.2067838603,16836.269026698,2633.999902344,0,3,15,20160700,7,2016
330,2580.46513020827,2801.999902344,1010.18240402232,808.223321329607,864.91349324536,2235.61130859373,2777.999853516,2645.999951172,334.375490315627,358.97372070296,364.007333577307,12017.58992186,13120,12500,2.09525096416507,68.0134450276747,25.63999938968,5261.63387369827,5744.1447721356,6119.462122396,2189.1156380212,2289.55873372413,2017.9569319664,2.803999900818,2.177999997138,1.971999883652,2.13159784158053,1.4555999517444,0.630295180733104,20564.1087500067,14358.5809895653,14829.137669256,19.529999256126,19.059998703,123.2,11.3772340139013,32.9928031921467,34.7186940002427,5036.27259602907,5357.32704101613,5381.9859244792,4984.66522135387,5286.07393554693,5185.01046386733,4593.9521264648,5086.976349284,4994.62846354187,5787.74897298147,6285.5809521488,5241.00191894507,12.6199685923413,13.51999950408,5499.7745556644,6063.69252766613,5951.68935709533,4188.69406494167,5191.26350585973,5300.8643652352,7393.29252604093,7990.1912988284,7718.66239908867,5883.35289388013,6381.55108723947,6080.44767252627,5730.14852213587,7843.4205794276,6275.85304036533,14165.9674837243,14572.6585937528,14424.1009765689,2633.999902344,0,3,30,20160700,7,2016
345,2592,2801.999902344,965.963367970919,708.2052470398,787.461418457133,2242,2777.999853516,2645.999951172,333.7999877928,358.9999877928,361.9999877928,12077.1287499853,13120,12500,2.107999873162,66.9834434000733,25.63999938968,5129.999902344,5621.999902344,5708.97748697947,2157.9226513676,2273.17837565107,2058.45145670613,2.803999900818,2.177999997138,1.971999883652,1.97599990368,1.4555999517444,0.630295180733104,20189.8888020867,13935.8703255107,14472.0510156107,5.31760853449667,19.059998703,123.2,11.3599996567,32.5524579874787,34.3675186665947,5354.13289388053,5690.07048177053,5570.5452571616,5449.81648600293,5783.61914225267,5615.73878906253,5123.76070800787,5696.2119954432,5574.61894693973,5946.0478873696,6424.77566731787,5327.6937581384,12.6315699259627,13.505968780508,5129.562115886,5608.5170556624,5480.099192708,4695.32151041685,5709.87321777373,5910.1617041024,6418.142094728,6964.99309244827,6701.95697428347,5883.44498046867,6333.23092447933,5926.15009114627,5715.39239583387,7880.89569010453,6284.13210937573,13759.8470768273,14160.0886035195,14027.4249934965,2633.999902344,0,3,45,20160700,7,2016
400,2592,2801.999902344,880.170561523512,855.620269979055,902.234600423013,2243.7042252604,2777.999853516,2647.56333658867,333.7999877928,358.9999877928,361.9999877928,12108.73023436,12746.335820312,12137.834179688,2.107999873162,66.57436360678,25.4441840362733,4369.3243359376,5233.35771484427,5445.999902344,2156.9410904948,2269.802451172,1994.07864095053,2.803999900818,2.04047475020227,1.69911983331159,1.97599990368,1.4555999517444,0.630295180733104,20371.3126041693,13337.505546868,13624.69643228,4.89776194890413,19.116966374716,123.2,11.3599996567,33.1012965393133,34.51999969484,4747.19437500027,5057.3528678384,5008.93973470067,5132.56500325573,5414.54740559947,5334.38143880267,4970.15302246067,5522.24534830747,5477.94684570307,5768.44773111973,6353.93113281253,5277.84629150413,12.624152704896,13.4599992752,6072.7489111344,6836.58109212133,6453.31532877547,5001.68239339209,6051.21398274787,6314.97329426947,7320.80079427093,8077.95311523333,7713.46672200547,5897.94929687507,6328.1405859376,5984.53491536507,5709.999804688,7891.999804688,6285.999707032,15547.3206998772,16001.2956217511,15821.2925032588,2633.999902344,0,4,0,20160700,7,2016
415,2592,2810.98698893267,833.450247345021,792.601150786196,853.493524983507,2246,2765.94065755227,2653.999951172,334.71145507788,358.9999877928,361.9999877928,12140.35509114,12610.2855208333,12009.999804688,2.05606119791707,66.29999847412,25.25999908448,3858.67795898453,4825.98237630253,4518.0145345056,2164.9743798828,2277.91210611947,2014.46315592453,2.80654680252013,2.031999945642,1.6649999141706,1.97599990368,1.4555999517444,0.630295180733104,20585.8491927133,13442.2474609307,13927.0245833173,4.82494177659413,19.13999900818,123.19999308268,11.3599996567,33.15999984742,34.51999969484,5001.19352701853,5305.00078124987,5253.02640625013,5176.35980306093,5579.22464518253,5444.69549316413,4791.22777750693,5337.82944987013,5200.60047526053,5994.92944661467,6529.28536295573,5480.26755777987,12.60000000002,13.444138158156,5747.78347330693,6274.19851725213,6084.38682779973,4761.0039933266,5797.57019205707,5963.2685253904,7115.62891601493,7856.69777669213,7486.11977864627,5868.8581673176,6337.3725813804,5975.55339843747,5709.999804688,7891.999804688,6281.16160807373,15303.835768236,15788.7778450643,15603.9338509127,2661.32637369813,0,4,15,20160700,7,2016
430,2592,2823.999804688,752.932943471291,659.501686604527,747.496400553467,2246,2759.999951172,2654.1278190104,334.7999816892,357.454038492613,361.819390868973,11694,12660,12009.999804688,2.4173174889884,66.29999847412,25.25999908448,3843.999951172,4813.999804688,4443.999804688,2220.08429036467,2275.98831054693,2013.18737792973,2.807999944686,2.031999945642,1.6649999141706,1.97599990368,1.4555999517444,0.630295180733104,20058.1990104187,13054.290494792,13484.67386718,4.6875957489024,18.8861452738413,123.21491027832,11.3552177302267,33.15999984742,34.63754536948,4417.035955404,4642.830535482,4627.9475699868,4088.637560222,4311.92097819027,4330.5686083984,4534.17740478493,5047.79358235653,4984.23749511733,5455.39969401053,5969.313461914,5007.41789550813,12.60000000002,13.43999919892,6404.29571451787,7140.61379068813,6853.121149088,5245.7844588218,6372.36927408813,6644.22252278667,6836.22571940093,7473.5472802732,7139.44071614573,5692.79732096413,6110.5496972652,5804.00926432293,5709.999804688,7881.34757812547,6271.999609376,12251.1669791713,12644.7123502704,12536.8531901057,2665.999902344,0,4,30,20160700,7,2016
445,2594.09899088547,2823.999804688,705.376316680952,632.283073705065,727.673614502,2253.17877929693,2759.999951172,2659.8561067708,335.668571370253,358.486229247827,360.3999877928,11694,12577.695989584,11858.5607682293,2.4773999611548,66.275119730628,25.25999908448,3843.999951172,4813.999804688,4443.999804688,2299.67219401,2271.47635416667,1981.27774251307,2.807999944686,2.031999945642,1.6649999141706,1.97599990368,1.4555999517444,0.630295180733104,20391.733463548,13209.260156248,13841.2615755133,4.689999961854,18.81999969482,123.631674397787,11.3146415329227,33.15999984742,35.0716300455893,4619.76627604187,4911.42200846347,4852.32916341133,4531.65246582053,4867.04656412707,4810.72677734387,5075.59706624307,5570.69090820267,5516.0554996748,5610.63963541667,6153.73236328187,5143.7148958332,12.60000000002,13.43999919892,5000.72890625107,5473.22306803333,5367.456725262,4534.19932942739,5564.51095540373,5684.61214029973,7122.12847656307,7863.08567382827,7568.67788737013,5702.44066080787,6068.44514973947,5809.8656933596,5667.49060546907,7857.46743489653,6260.97579427187,12456.9851204477,12851.3229199251,12740.3285904953,2666.02468098987,0,4,45,20160700,7,2016
